log_date,active_tname,fans_label,uu,uu_non,uu_asc,uu_des,uu_month_ratio,uu_non_month_ratio,uu_asc_month_ratio,uu_des_month_ratio
20181231,动画,0,4,0,0,0,,,,
20181231,动画,1,148239,0,0,0,,,,
20181231,动画,2,21957,0,0,0,,,,
20181231,动画,3,7209,0,0,0,,,,
20181231,动画,4,1243,0,0,0,,,,
20181231,动画,5,129,0,0,0,,,,
20181231,国创,1,10696,0,0,0,,,,
20181231,国创,2,2191,0,0,0,,,,
20181231,国创,3,791,0,0,0,,,,
20181231,国创,4,177,0,0,0,,,,
20181231,国创,5,32,0,0,0,,,,
20181231,娱乐,1,171341,0,0,0,,,,
20181231,娱乐,2,32987,0,0,0,,,,
20181231,娱乐,3,9845,0,0,0,,,,
20181231,娱乐,4,1107,0,0,0,,,,
20181231,娱乐,5,55,0,0,0,,,,
20181231,广告,1,11540,0,0,0,,,,
20181231,广告,2,387,0,0,0,,,,
20181231,广告,3,79,0,0,0,,,,
20181231,广告,4,15,0,0,0,,,,
20181231,广告,5,1,0,0,0,,,,
20181231,影视,1,190680,0,0,0,,,,
20181231,影视,2,22489,0,0,0,,,,
20181231,影视,3,6826,0,0,0,,,,
20181231,影视,4,1194,0,0,0,,,,
20181231,影视,5,150,0,0,0,,,,
20181231,时尚,1,36712,0,0,0,,,,
20181231,时尚,2,6338,0,0,0,,,,
20181231,时尚,3,3706,0,0,0,,,,
20181231,时尚,4,1291,0,0,0,,,,
20181231,时尚,5,202,0,0,0,,,,
20181231,游戏,0,3,0,0,0,,,,
20181231,游戏,1,934032,0,0,0,,,,
20181231,游戏,2,70973,0,0,0,,,,
20181231,游戏,3,22897,0,0,0,,,,
20181231,游戏,4,4129,0,0,0,,,,
20181231,游戏,5,477,0,0,0,,,,
20181231,生活,0,5,0,0,0,,,,
20181231,生活,1,687891,0,0,0,,,,
20181231,生活,2,46392,0,0,0,,,,
20181231,生活,3,17297,0,0,0,,,,
20181231,生活,4,4170,0,0,0,,,,
20181231,生活,5,564,0,0,0,,,,
20181231,电影,1,41,0,0,0,,,,
20181231,电影,2,24,0,0,0,,,,
20181231,电影,3,14,0,0,0,,,,
20181231,电影,4,7,0,0,0,,,,
20181231,电影,5,1,0,0,0,,,,
20181231,电视剧,1,50,0,0,0,,,,
20181231,电视剧,2,18,0,0,0,,,,
20181231,电视剧,3,14,0,0,0,,,,
20181231,电视剧,4,4,0,0,0,,,,
20181231,电视剧,5,4,0,0,0,,,,
20181231,番剧,1,3076,0,0,0,,,,
20181231,番剧,2,1712,0,0,0,,,,
20181231,番剧,3,708,0,0,0,,,,
20181231,番剧,4,127,0,0,0,,,,
20181231,番剧,5,13,0,0,0,,,,
20181231,知识,1,77090,0,0,0,,,,
20181231,知识,2,16031,0,0,0,,,,
20181231,知识,3,6350,0,0,0,,,,
20181231,知识,4,1362,0,0,0,,,,
20181231,知识,5,169,0,0,0,,,,
20181231,纪录片,1,10233,0,0,0,,,,
20181231,纪录片,2,1154,0,0,0,,,,
20181231,纪录片,3,385,0,0,0,,,,
20181231,纪录片,4,103,0,0,0,,,,
20181231,纪录片,5,18,0,0,0,,,,
20181231,舞蹈,1,39040,0,0,0,,,,
20181231,舞蹈,2,7813,0,0,0,,,,
20181231,舞蹈,3,2652,0,0,0,,,,
20181231,舞蹈,4,579,0,0,0,,,,
20181231,舞蹈,5,95,0,0,0,,,,
20181231,音乐,0,1,0,0,0,,,,
20181231,音乐,1,198116,0,0,0,,,,
20181231,音乐,2,24101,0,0,0,,,,
20181231,音乐,3,6971,0,0,0,,,,
20181231,音乐,4,1281,0,0,0,,,,
20181231,音乐,5,180,0,0,0,,,,
20181231,鬼畜,1,11436,0,0,0,,,,
20181231,鬼畜,2,3034,0,0,0,,,,
20181231,鬼畜,3,1100,0,0,0,,,,
20181231,鬼畜,4,321,0,0,0,,,,
20181231,鬼畜,5,63,0,0,0,,,,
20190131,动画,0,4,4,0,0,1,1,,
20190131,动画,1,153276,146605,0,85,1.033978912,0.98897726,,0.000573398
20190131,动画,2,22634,21443,969,15,1.030832992,0.976590609,0.044131712,0.000683153
20190131,动画,3,7554,7090,410,3,1.047856846,0.983492856,0.056873353,0.000416146
20190131,动画,4,1292,1211,79,0,1.039420756,0.974255833,0.063555913,
20190131,动画,5,139,126,13,0,1.07751938,0.976744186,0.100775194,
20190131,国创,1,11164,10576,0,3,1.043754675,0.988780853,,0.000280479
20190131,国创,2,2292,2171,97,1,1.046097672,0.990871748,0.044272022,0.000456413
20190131,国创,3,802,772,23,0,1.013906448,0.975979772,0.029077118,
20190131,国创,4,191,179,10,0,1.079096045,1.011299435,0.056497175,
20190131,国创,5,36,32,4,0,1.125,1,0.125,
20190131,娱乐,1,180220,169870,0,94,1.051820638,0.991414781,,0.000548614
20190131,娱乐,2,34286,32416,1525,22,1.039379149,0.982690151,0.046230333,0.000666929
20190131,娱乐,3,10296,9779,478,1,1.045810056,0.993296089,0.048552565,0.000101574
20190131,娱乐,4,1145,1092,51,0,1.03432701,0.986449864,0.046070461,
20190131,娱乐,5,62,56,6,0,1.127272727,1.018181818,0.109090909,
20190131,广告,1,11883,11351,0,1,1.029722704,0.983622184,,8.67E-05
20190131,广告,2,399,381,17,0,1.031007752,0.984496124,0.043927649,
20190131,广告,3,84,80,4,0,1.063291139,1.012658228,0.050632911,
20190131,广告,4,15,14,1,0,1,0.933333333,0.066666667,
20190131,广告,5,1,1,0,0,1,1,,
20190131,影视,1,201105,189288,0,69,1.05467275,0.992699811,,0.000361863
20190131,影视,2,23504,22078,1192,21,1.045133176,0.981724399,0.053003691,0.00093379
20190131,影视,3,7142,6745,353,1,1.046293583,0.988133607,0.051714035,0.000146499
20190131,影视,4,1259,1195,60,1,1.054438861,1.000837521,0.050251256,0.000837521
20190131,影视,5,152,147,5,0,1.013333333,0.98,0.033333333,
20190131,数码,1,22187,20848,0,14,,,,
20190131,数码,2,2873,2674,168,5,,,,
20190131,数码,3,1141,1073,61,1,,,,
20190131,数码,4,279,264,15,0,,,,
20190131,数码,5,46,41,5,0,,,,
20190131,时尚,1,38665,35657,0,25,1.053197864,0.971262802,,0.000680976
20190131,时尚,2,6557,6118,311,20,1.034553487,0.965288735,0.049069107,0.00315557
20190131,时尚,3,3858,3607,207,3,1.041014571,0.973286562,0.05585537,0.000809498
20190131,时尚,4,1322,1254,67,0,1.024012393,0.971340046,0.051897754,
20190131,时尚,5,222,202,20,0,1.099009901,1,0.099009901,
20190131,游戏,0,3,3,0,0,1,1,,
20190131,游戏,1,994063,925523,0,333,1.064270817,0.990890034,,0.000356519
20190131,游戏,2,74793,69553,4408,122,1.053823285,0.979992391,0.062108126,0.001718964
20190131,游戏,3,24188,22498,1445,9,1.056382932,0.982574136,0.063108704,0.000393065
20190131,游戏,4,4345,4098,236,4,1.052312909,0.992492129,0.057156697,0.000968758
20190131,游戏,5,508,473,35,0,1.064989518,0.991614256,0.073375262,
20190131,生活,0,5,5,0,0,1,1,,
20190131,生活,1,764275,680012,0,222,1.111040848,0.98854615,,0.000322726
20190131,生活,2,49573,45266,3375,89,1.068567857,0.975728574,0.072749612,0.001918434
20190131,生活,3,18454,16978,1208,8,1.066890212,0.981557496,0.0698387,0.000462508
20190131,生活,4,4364,4128,224,1,1.046522782,0.989928058,0.053717026,0.000239808
20190131,生活,5,613,564,49,0,1.086879433,1,0.086879433,
20190131,电影,1,40,39,0,0,0.975609756,0.951219512,,
20190131,电影,2,23,22,1,0,0.958333333,0.916666667,0.041666667,
20190131,电影,3,14,14,0,0,1,1,,
20190131,电影,4,7,7,0,0,1,1,,
20190131,电影,5,1,1,0,0,1,1,,
20190131,电视剧,1,49,49,0,0,0.98,0.98,,
20190131,电视剧,2,19,18,1,0,1.055555556,1,0.055555556,
20190131,电视剧,3,14,14,0,0,1,1,,
20190131,电视剧,4,4,4,0,0,1,1,,
20190131,电视剧,5,4,4,0,0,1,1,,
20190131,番剧,1,3088,3030,0,7,1.00390117,0.985045514,,0.002275683
20190131,番剧,2,1738,1682,49,1,1.015186916,0.982476636,0.028621495,0.000584112
20190131,番剧,3,725,707,16,1,1.024011299,0.998587571,0.02259887,0.001412429
20190131,番剧,4,127,122,4,1,1,0.960629921,0.031496063,0.007874016
20190131,番剧,5,16,13,3,0,1.230769231,1,0.230769231,
20190131,知识,1,58058,54291,0,23,0.75311973,0.704254767,,0.000298353
20190131,知识,2,13613,12575,861,10,0.849167238,0.784417691,0.05370844,0.000623791
20190131,知识,3,5431,5029,359,4,0.855275591,0.791968504,0.056535433,0.000629921
20190131,知识,4,1118,1050,64,0,0.820851689,0.77092511,0.046989721,
20190131,知识,5,138,128,10,0,0.816568047,0.75739645,0.059171598,
20190131,纪录片,1,10982,10160,0,3,1.073194567,0.992866217,,0.000293169
20190131,纪录片,2,1208,1134,67,3,1.046793761,0.982668977,0.058058925,0.002599653
20190131,纪录片,3,405,381,22,0,1.051948052,0.98961039,0.057142857,
20190131,纪录片,4,103,103,0,0,1,1,,
20190131,纪录片,5,18,18,0,0,1,1,,
20190131,舞蹈,1,40767,38516,0,28,1.04423668,0.986577869,,0.000717213
20190131,舞蹈,2,7961,7684,232,8,1.018942788,0.983489057,0.0296941,0.001023934
20190131,舞蹈,3,2708,2622,80,1,1.021116139,0.988687783,0.030165913,0.000377074
20190131,舞蹈,4,594,574,20,0,1.025906736,0.991364421,0.034542314,
20190131,舞蹈,5,99,95,4,0,1.042105263,1,0.042105263,
20190131,音乐,0,1,1,0,0,1,1,,
20190131,音乐,1,211243,196712,0,82,1.066259161,0.992913243,,0.000413899
20190131,音乐,2,25074,23724,1127,21,1.040371769,0.984357496,0.046761545,0.000871333
20190131,音乐,3,7273,6879,338,1,1.043322335,0.986802467,0.048486587,0.000143451
20190131,音乐,4,1326,1268,52,2,1.035128806,0.989851678,0.040593286,0.00156128
20190131,音乐,5,185,179,6,0,1.027777778,0.994444444,0.033333333,
20190131,鬼畜,1,11601,11329,0,11,1.014428122,0.990643582,,0.000961875
20190131,鬼畜,2,3101,2986,97,2,1.022083059,0.984179301,0.031970995,0.000659196
20190131,鬼畜,3,1123,1067,50,0,1.020909091,0.97,0.045454545,
20190131,鬼畜,4,335,319,16,0,1.043613707,0.99376947,0.049844237,
20190131,鬼畜,5,65,63,2,0,1.031746032,1,0.031746032,
20190228,动画,0,4,4,0,0,1,1,,
20190228,动画,1,159742,151566,0,61,1.042185339,0.988843655,,0.000397975
20190228,动画,2,23635,22141,1230,13,1.044225501,0.978218609,0.054343024,0.000574357
20190228,动画,3,7976,7452,455,2,1.055864443,0.98649722,0.060232989,0.00026476
20190228,动画,4,1387,1281,101,0,1.073529412,0.991486068,0.078173375,
20190228,动画,5,153,141,12,0,1.100719424,1.014388489,0.086330935,
20190228,国创,1,11705,11016,0,4,1.048459334,0.986743103,,0.000358295
20190228,国创,2,2347,2233,90,4,1.02399651,0.97425829,0.039267016,0.001745201
20190228,国创,3,837,798,32,1,1.043640898,0.995012469,0.039900249,0.001246883
20190228,国创,4,192,184,8,0,1.005235602,0.963350785,0.041884817,
20190228,国创,5,37,36,1,0,1.027777778,1,0.027777778,
20190228,娱乐,1,190106,178658,0,91,1.054855177,0.991332815,,0.000504938
20190228,娱乐,2,35566,33728,1540,28,1.037333022,0.983725136,0.044916292,0.00081666
20190228,娱乐,3,10691,10155,489,1,1.038364413,0.986305361,0.047494172,9.71E-05
20190228,娱乐,4,1207,1139,68,0,1.054148472,0.994759825,0.059388646,
20190228,娱乐,5,68,61,7,0,1.096774194,0.983870968,0.112903226,
20190228,广告,1,12159,11701,0,2,1.023226458,0.984684002,,0.000168308
20190228,广告,2,418,389,26,0,1.047619048,0.974937343,0.065162907,
20190228,广告,3,90,84,5,0,1.071428571,1,0.05952381,
20190228,广告,4,15,15,0,0,1,1,,
20190228,广告,5,1,1,0,0,1,1,,
20190228,影视,1,212001,199508,0,83,1.054180652,0.992058875,,0.00041272
20190228,影视,2,24383,23008,1155,14,1.03739789,0.978897209,0.049140572,0.000595643
20190228,影视,3,7491,7075,371,2,1.048865864,0.990618874,0.051946234,0.000280034
20190228,影视,4,1303,1248,54,0,1.034948372,0.991262907,0.042891183,
20190228,影视,5,161,150,11,0,1.059210526,0.986842105,0.072368421,
20190228,数码,1,23379,21820,0,9,1.053725154,0.983458782,,0.000405643
20190228,数码,2,3033,2792,216,2,1.055690915,0.971806474,0.075182736,0.000696136
20190228,数码,3,1198,1115,74,0,1.049956179,0.977212971,0.06485539,
20190228,数码,4,298,275,23,0,1.068100358,0.985663082,0.082437276,
20190228,数码,5,53,46,7,0,1.152173913,1,0.152173913,
20190228,时尚,1,40646,37686,0,14,1.051234967,0.974679943,,0.000362085
20190228,时尚,2,6728,6341,301,8,1.026079,0.967058106,0.04590514,0.00122007
20190228,时尚,3,3988,3773,187,3,1.033696216,0.977967859,0.04847071,0.000777605
20190228,时尚,4,1373,1310,61,0,1.038577912,0.990922844,0.046142209,
20190228,时尚,5,230,221,9,0,1.036036036,0.995495495,0.040540541,
20190228,游戏,0,3,3,0,0,1,1,,
20190228,游戏,1,1059803,983619,0,405,1.066132629,0.989493624,,0.000407419
20190228,游戏,2,79115,73070,5140,71,1.057786156,0.976963085,0.068723009,0.000949287
20190228,游戏,3,25604,23763,1582,6,1.058541426,0.982429304,0.065404333,0.000248057
20190228,游戏,4,4550,4287,256,0,1.047180667,0.986651323,0.058918297,
20190228,游戏,5,542,506,35,0,1.066929134,0.996062992,0.068897638,
20190228,生活,0,5,5,0,0,1,1,,
20190228,生活,1,850875,755551,0,194,1.11331,0.988585261,,0.000253835
20190228,生活,2,53193,48432,3698,41,1.073023622,0.976983439,0.074597059,0.000827063
20190228,生活,3,19779,18165,1302,6,1.071800152,0.984339439,0.070553809,0.000325133
20190228,生活,4,4609,4318,278,0,1.056141155,0.989459212,0.063703025,
20190228,生活,5,661,611,50,0,1.078303426,0.996737357,0.081566069,
20190228,电影,1,41,40,0,0,1.025,1,,
20190228,电影,2,23,23,0,0,1,1,,
20190228,电影,3,14,14,0,0,1,1,,
20190228,电影,4,7,7,0,0,1,1,,
20190228,电影,5,1,1,0,0,1,1,,
20190228,电视剧,1,49,49,0,0,1,1,,
20190228,电视剧,2,18,18,0,0,0.947368421,0.947368421,,
20190228,电视剧,3,14,14,0,0,1,1,,
20190228,电视剧,4,4,4,0,0,1,1,,
20190228,电视剧,5,4,4,0,0,1,1,,
20190228,番剧,1,3086,3032,0,4,0.999352332,0.981865285,,0.001295337
20190228,番剧,2,1754,1706,42,0,1.009205984,0.981588032,0.024165708,
20190228,番剧,3,752,725,27,0,1.037241379,1,0.037241379,
20190228,番剧,4,131,126,5,0,1.031496063,0.992125984,0.039370079,
20190228,番剧,5,17,16,1,0,1.0625,1,0.0625,
20190228,知识,1,60158,56921,0,17,1.036170726,0.980416136,,0.000292811
20190228,知识,2,14200,13163,882,4,1.043120547,0.966943363,0.064791009,0.000293837
20190228,知识,3,5716,5322,357,0,1.052476524,0.979930031,0.065733751,
20190228,知识,4,1164,1092,71,0,1.041144902,0.976744186,0.063506261,
20190228,知识,5,155,138,17,0,1.123188406,1,0.123188406,
20190228,纪录片,1,11659,10815,0,0,1.06164633,0.984793298,,
20190228,纪录片,2,1213,1140,63,1,1.004139073,0.943708609,0.052152318,0.000827815
20190228,纪录片,3,428,397,27,0,1.056790123,0.980246914,0.066666667,
20190228,纪录片,4,104,101,3,0,1.009708738,0.980582524,0.029126214,
20190228,纪录片,5,20,18,2,0,1.111111111,1,0.111111111,
20190228,舞蹈,1,41635,39994,0,30,1.021291731,0.981038585,,0.000735889
20190228,舞蹈,2,8099,7836,213,5,1.017334506,0.984298455,0.026755433,0.000628062
20190228,舞蹈,3,2741,2677,57,2,1.012186115,0.988552437,0.021048744,0.000738552
20190228,舞蹈,4,608,587,20,0,1.023569024,0.988215488,0.033670034,
20190228,舞蹈,5,104,100,4,0,1.050505051,1.01010101,0.04040404,
20190228,音乐,0,1,1,0,0,1,1,,
20190228,音乐,1,222950,208784,0,88,1.055419588,0.988359378,,0.000416582
20190228,音乐,2,26000,24568,1198,13,1.036930685,0.979819734,0.047778575,0.000518465
20190228,音乐,3,7608,7172,371,2,1.046060773,0.986113021,0.051010587,0.00027499
20190228,音乐,4,1370,1307,61,0,1.033182504,0.985671192,0.046003017,
20190228,音乐,5,200,187,12,0,1.081081081,1.010810811,0.064864865,
20190228,鬼畜,1,11933,11507,0,8,1.028618223,0.99189725,,0.000689596
20190228,鬼畜,2,3201,3046,130,1,1.032247662,0.982263786,0.041921961,0.000322477
20190228,鬼畜,3,1205,1114,84,1,1.0730187,0.991985752,0.074799644,0.000890472
20190228,鬼畜,4,353,334,19,0,1.053731343,0.997014925,0.056716418,
20190228,鬼畜,5,69,67,2,0,1.061538462,1.030769231,0.030769231,
20190331,动画,0,4,4,0,0,1,1,,
20190331,动画,1,164849,157993,0,147,1.031970302,0.989051095,,0.000920234
20190331,动画,2,24564,23184,1110,58,1.039306114,0.98091813,0.046964248,0.002453988
20190331,动画,3,8289,7812,419,2,1.039242728,0.979438315,0.052532598,0.000250752
20190331,动画,4,1463,1379,77,0,1.054794521,0.994232156,0.055515501,
20190331,动画,5,159,153,6,0,1.039215686,1,0.039215686,
20190331,国创,1,12186,11564,0,10,1.04109355,0.987953866,,0.000854336
20190331,国创,2,2413,2309,80,5,1.028121006,0.983809118,0.034086067,0.002130379
20190331,国创,3,871,829,35,2,1.040621266,0.990442055,0.04181601,0.002389486
20190331,国创,4,193,189,4,0,1.005208333,0.984375,0.020833333,
20190331,国创,5,38,36,2,0,1.027027027,0.972972973,0.054054054,
20190331,娱乐,1,197809,188125,0,135,1.0405195,0.989579498,,0.00071013
20190331,娱乐,2,36669,34963,1404,55,1.031012765,0.983045605,0.039475904,0.001546421
20190331,娱乐,3,10994,10545,412,1,1.028341596,0.986343654,0.038537087,9.35E-05
20190331,娱乐,4,1264,1209,53,1,1.047224524,1.001657001,0.043910522,0.0008285
20190331,娱乐,5,71,70,1,0,1.044117647,1.029411765,0.014705882,
20190331,广告,1,12620,12012,0,2,1.037914302,0.98791019,,0.000164487
20190331,广告,2,437,404,29,0,1.045454545,0.966507177,0.06937799,
20190331,广告,3,96,88,8,0,1.066666667,0.977777778,0.088888889,
20190331,广告,4,15,15,0,0,1,1,,
20190331,广告,5,1,1,0,0,1,1,,
20190331,影视,1,223600,210486,0,169,1.054712006,0.992853807,,0.000797166
20190331,影视,2,25474,23898,1288,44,1.044744289,0.980109092,0.052823689,0.001804536
20190331,影视,3,7771,7302,414,1,1.037378187,0.974769724,0.05526632,0.000133494
20190331,影视,4,1351,1286,63,0,1.036838066,0.986953185,0.048349962,
20190331,影视,5,166,159,7,0,1.031055901,0.98757764,0.043478261,
20190331,数码,1,25287,23183,0,21,1.081611703,0.991616408,,0.000898242
20190331,数码,2,3256,2947,238,11,1.073524563,0.971645236,0.078470162,0.003626772
20190331,数码,3,1251,1143,83,2,1.044240401,0.95409015,0.069282137,0.001669449
20190331,数码,4,314,288,26,0,1.053691275,0.966442953,0.087248322,
20190331,数码,5,57,53,4,0,1.075471698,1,0.075471698,
20190331,时尚,1,43404,39788,0,74,1.067854155,0.978890912,,0.001820597
20190331,时尚,2,6977,6476,347,38,1.037009512,0.96254459,0.051575505,0.005648038
20190331,时尚,3,4093,3830,212,6,1.026328987,0.960381143,0.053159478,0.001504514
20190331,时尚,4,1413,1348,64,0,1.029133285,0.981791697,0.046613256,
20190331,时尚,5,243,229,14,0,1.056521739,0.995652174,0.060869565,
20190331,游戏,0,3,3,0,0,1,1,,
20190331,游戏,1,1115104,1049303,0,1168,1.052180452,0.990092498,,0.001102092
20190331,游戏,2,82972,76851,4890,463,1.048751817,0.971383429,0.061808759,0.00585224
20190331,游戏,3,26575,24631,1637,30,1.037923762,0.961998125,0.063935323,0.001171692
20190331,游戏,4,4661,4482,170,1,1.024395604,0.985054945,0.037362637,0.00021978
20190331,游戏,5,569,545,22,0,1.049815498,1.005535055,0.040590406,
20190331,生活,0,5,5,0,0,1,1,,
20190331,生活,1,927633,840797,0,763,1.090210665,0.988155722,,0.000896724
20190331,生活,2,56762,51522,3900,267,1.067095294,0.968586092,0.073317918,0.005019457
20190331,生活,3,20756,18950,1450,15,1.049395824,0.95808686,0.073310076,0.00075838
20190331,生活,4,4856,4550,287,0,1.053590801,0.987198959,0.062269473,
20190331,生活,5,715,656,58,0,1.081694402,0.992435703,0.08774584,
