value_level,fans_label,up_cnt
0,2,83344
1,2,26594
1,3,3468
1,1,349596
1,3,1596
2,2,6064
2,3,177
2,2,28603
2,3,22
2,2,2855
2,2,6146
2,2,4824
2,2,1657
2,2,11946
2,2,12492
2,2,2400
2,2,2311
2,1,445
2,2,11932
2,2,40075
3,3,1541
3,3,311
3,1,128339
3,1,20613
3,3,16994
3,3,5743
3,1,22908
3,1,43041
3,2,13853
3,1,38910
3,1,12519
3,3,3172
3,3,3219
3,3,2
3,2,156
3,2,33632
3,2,23358
3,1,8401
0,3,15992
1,3,3950
1,1,292702
1,1,181337
1,2,7943
1,1,27669
1,1,16466
2,3,1371
2,3,2266
2,1,169192
2,1,375421
2,1,143928
2,3,693
2,1,3098
2,3,1049
2,3,975
2,3,413
2,1,201021
2,3,1768
2,3,2159
2,3,440
2,3,545
2,2,207
2,1,4894
2,3,1310
2,3,5477
3,2,17957
3,2,43621
3,2,36514
3,2,54557
3,3,3519
3,2,11932
3,2,3051
3,1,7476
3,3,100
3,1,192
3,1,716
3,3,34111
3,3,25129
3,1,956
3,1,2884
3,2,27677
1,2,3721
1,2,2954
1,1,1017548
1,3,1552
1,2,850
1,1,268012
1,2,972
2,1,8676
2,2,40147
2,2,74433
2,2,23759
2,1,93
2,2,7809
2,2,14983
2,3,18
2,2,5296
3,1,83080
3,1,15299
3,3,2639
3,3,11750
3,1,55165
3,1,26266
3,3,11116
3,3,17471
3,3,2021
3,3,512
3,1,37931
3,1,48635
3,2,1495
3,2,471
3,2,3733
3,2,5703
3,2,15930
3,3,30254
0,1,10449773
1,1,2953518
1,3,704
1,3,389
1,2,23296
1,3,106
1,2,11181
1,3,106
2,1,293118
2,2,1380
2,1,117523
2,3,3855
2,3,8807
2,3,3211
2,2,98
2,1,1530
2,3,1796
2,1,162220
2,1,139162
2,1,58454
2,3,1764
2,1,179364
2,1,226801
2,1,47648
2,1,56155
2,3,563
2,1,11008
2,1,52218
3,2,9270
3,2,1815
3,2,54053
3,2,20511
3,1,23302
3,2,20408
3,2,20073
3,3,241
3,2,7
3,1,107
3,3,354
3,3,3301
3,1,6313
3,1,4436
3,3,5573
3,3,15892
