"","season","fans_level","fans_level.1","gap_day","gap_avs","mid_gap_day","mid_avs","up_cnt"
"1",201702,1,"0-100",6.746550671,4.316841953,7,2,1109610
"2",201702,2,"100-1000",9.759736553,26.50717647,11,13,109664
"3",201702,3,"1000-1w",10.02921598,67.66209512,12,26,31645
"4",201702,4,"1w-10w",13.0991376,160.3667049,20,49,6103
"5",201702,5,"10w+",14.18882438,388.3112583,20,101,755
"6",201703,1,"0-100",60.27712657,1.448898502,64,1,272311
"7",201703,2,"100-1000",32.96782703,9.477392032,48,3,39433
"8",201703,3,"1000-1w",26.04559903,14.52433592,38,4,12122
"9",201703,4,"1w-10w",43.32928133,33.97666226,53,11,2271
"10",201703,5,"10w+",64.66699897,45.76315789,72,17,190
"11",201704,1,"0-100",163.2661075,1.59633942,195,1,216687
"12",201704,2,"100-1000",62.41921031,12.92088827,123,5,30260
"13",201704,3,"1000-1w",49.11235944,21.60460802,86,7,10242
"14",201704,4,"1w-10w",78.08823455,56.18850698,125,18,1862
"15",201704,5,"10w+",128.8729152,83.19318182,158,30,176
"16",201801,1,"0-100",59.31010065,1.477367142,19,1,282951
"17",201801,2,"100-1000",67.81694131,13.71118563,130,6,36587
"18",201801,3,"1000-1w",52.57095393,22.4759562,83,7,12584
"19",201801,4,"1w-10w",98.73947163,68.06934126,165,21,2015
"20",201801,5,"10w+",176.0807599,126.659292,227,44.5,226
"21",201802,1,"0-100",199.989013,1.530542842,334,1,359626
"22",201802,2,"100-1000",73.5599405,15.57160973,109,6,41007
"23",201802,3,"1000-1w",48.03638176,25.99201016,63,8,13392
"24",201802,4,"1w-10w",111.2313462,79.87927107,148,29,2195
"25",201802,5,"10w+",223.231587,168.1324786,314,59.5,234
"26",201803,1,"0-100",212.5371845,1.440333364,422,1,690897
"27",201803,2,"100-1000",76.05490722,17.81564301,99,7,50668
"28",201803,3,"1000-1w",46.52045183,30.13263889,60,9,14400
"29",201803,4,"1w-10w",122.549168,88.35584416,160,32,2695
"30",201803,5,"10w+",227.705649,158.2982456,345.5,72,342
"31",201804,1,"0-100",221.4069424,1.490592403,508,1,581817
"32",201804,2,"100-1000",98.48746647,21.82268937,130,8,46286
"33",201804,3,"1000-1w",51.26689947,33.04913109,73,8,13983
"34",201804,4,"1w-10w",136.1475226,93.58140513,177,32,2377
"35",201804,5,"10w+",244.2627777,209.5855263,316,76.5,303
"36",201901,1,"0-100",94.69854351,1.544166169,63.5,1,756484
"37",201901,2,"100-1000",97.82688787,19.88698277,156,7,63946
"38",201901,3,"1000-1w",40.7645325,27.24829053,51,6,19743
"39",201901,4,"1w-10w",123.626471,78.73654672,174,27,3027
"40",201901,5,"10w+",226.2455312,158.5315126,271,57,476
"41",201902,1,"0-100",257.7408935,1.506795543,690,1,849601
"42",201902,2,"100-1000",98.83537644,20.67830191,150,8,72882
"43",201902,3,"1000-1w",41.94910524,28.11520358,44,6,21883
"44",201902,4,"1w-10w",115.359805,81.33115183,149.5,22,3820
"45",201902,5,"10w+",239.3548004,232.1046771,340,60,449
"46",201903,1,"0-100",67.28004687,1.391862454,57,1,1166912
"47",201903,2,"100-1000",101.2880701,21.78994182,152,9,77685
"48",201903,3,"1000-1w",52.64646806,29.52610214,69,7,22910
"49",201903,4,"1w-10w",101.0512534,70.28218123,127,21,4933
"50",201903,5,"10w+",216.9925295,156.1490909,281,55,550
"51",201904,1,"0-100",91.30667091,1.420260294,75,1,997182
"52",201904,2,"100-1000",117.1645249,25.00633836,169,10,60268
"53",201904,3,"1000-1w",69.09156939,38.98863762,95,10,18042
"54",201904,4,"1w-10w",107.4987227,75.09856215,138,22,4312
"55",201904,5,"10w+",190.3385676,159.1310212,250.5,52,519
"56",202001,1,"0-100",145.9799542,1.363756587,248,1,2007631
"57",202001,2,"100-1000",105.4760016,23.61088981,169,10,111460
"58",202001,3,"1000-1w",57.71386018,34.78376542,83,9,29431
"59",202001,4,"1w-10w",99.57059221,70.76343777,144,20,6958
"60",202001,5,"10w+",195.8095361,128.3726514,263,52,958
"61",202002,1,"0-100",197.6035663,1.451306924,320,1,1845478
"62",202002,2,"100-1000",106.0511489,26.83686575,118,12,119747
"63",202002,3,"1000-1w",45.08412551,33.22243917,55,9,33290
"64",202002,4,"1w-10w",82.2873655,68.25853516,94,18,6854
"65",202002,5,"10w+",179.6558612,154.0494822,265.5,49,869
"66",202003,1,"0-100",123.0071053,1.550885119,181,1,1545743
"67",202003,2,"100-1000",134.2212016,30.89933027,170,13,104588
"68",202003,3,"1000-1w",61.63594299,38.18730689,91,10,31695
"69",202003,4,"1w-10w",90.40150557,78.87923698,115,20,6808
"70",202003,5,"10w+",161.4621162,138.1563745,202.5,45,1004
"71",202004,1,"0-100",264.9579362,1.432997864,455,1,2359959
"72",202004,2,"100-1000",155.2862901,37.62443328,227,13,89842
"73",202004,3,"1000-1w",78.39901784,50.76470588,122,12,28490
