log_date,fans_label,fans_level,uv,uv_new,avs,play,uv_active,avid_cnt
2018_1231,0,,22,0,354,3078817,0,0
2018_1231,1,0-100,3270742,201528,16616592,12365109794,493595,1480693
2018_1231,2,100-1k,275321,2408,9526049,31615393787,70180,492477
2018_1231,3,1k-10k,91622,716,8245392,57659765995,33691,345933
2018_1231,4,10k-100k,17604,35,4124787,65130846450,9931,144038
2018_1231,5,100k+,2170,2,1026995,73642549593,1776,30055
2019_0131,0,,22,0,354,3081442,0,0
2019_0131,1,0-100,3496644,243636,17936137,13079519037,582394,1676493
2019_0131,2,100-1k,288739,3182,10107217,33512413150,77261,515152
2019_0131,3,1k-10k,96364,841,8734008,61324591338,36026,351816
2019_0131,4,10k-100k,18352,38,4360363,69360158499,10219,145009
2019_0131,5,100k+,2323,0,1091732,79119529692,1893,32992
2019_0228,0,,22,0,354,3086511,0,0
2019_0228,1,0-100,3745911,267033,19322490,13827439465,634753,1733578
2019_0228,2,100-1k,303586,3494,10670228,35386451209,81256,498558
2019_0228,3,1k-10k,101665,954,9197894,64604833700,37637,319164
2019_0228,4,10k-100k,19228,38,4567247,73184788413,10622,127278
2019_0228,5,100k+,2495,2,1159389,84865420932,2049,28690
2019_0331,0,,22,0,354,3089218,0,0
2019_0331,1,0-100,3970782,240603,20830239,14598641860,600093,1852649
2019_0331,2,100-1k,318344,3544,11366333,37464384191,81529,570683
2019_0331,3,1k-10k,105802,1041,9690849,67953231384,38168,367795
2019_0331,4,10k-100k,19994,51,4764620,76704648036,11092,144686
2019_0331,5,100k+,2642,3,1223407,89871783090,2191,34841
2019_0430,0,,22,0,354,3093033,0,0
2019_0430,1,0-100,4220446,271106,22329273,15610915950,661772,1926517
2019_0430,2,100-1k,337084,4112,12086796,39902004617,87064,596413
2019_0430,3,1k-10k,111471,966,10218948,71614166657,40100,372578
2019_0430,4,10k-100k,20929,46,4996956,80238053067,11574,142001
2019_0430,5,100k+,2788,3,1299157,95634715717,2279,35176
2019_0531,0,,22,0,354,3101403,0,0
2019_0531,1,0-100,4475243,273812,23946582,16683690114,703405,2020830
2019_0531,2,100-1k,352747,4092,12787583,42446336435,92503,613377
2019_0531,3,1k-10k,117851,1051,10770605,75614523021,42761,399029
2019_0531,4,10k-100k,22056,61,5248470,84232793000,12282,151263
2019_0531,5,100k+,2932,2,1382691,1.02E+11,2371,37864
2019_0630,0,,22,0,354,3108900,0,0
2019_0630,1,0-100,4752787,296475,25562091,17996729480,756100,2034357
2019_0630,2,100-1k,368881,3713,13540515,45499151436,95697,614640
2019_0630,3,1k-10k,123455,966,11270340,79821651946,43642,386371
2019_0630,4,10k-100k,23285,60,5489825,88399377385,12804,147179
2019_0630,5,100k+,3088,8,1480697,1.08E+11,2481,37663
2019_0731,0,,33,0,406,3260966,0,0
2019_0731,1,0-100,5130559,392550,27964683,19660720037,947798,2791875
2019_0731,2,100-1k,387792,4842,14552064,49404717284,111912,796050
2019_0731,3,1k-10k,122788,1076,11735048,84457669979,45971,457936
2019_0731,4,10k-100k,24525,90,5774402,92984972701,14047,175398
2019_0731,5,100k+,3263,5,1563811,1.16E+11,2657,41419
2019_0831,0,,33,0,406,3274258,0,0
2019_0831,1,0-100,5569007,456560,30598739,21446470196,1071541,3061273
2019_0831,2,100-1k,406716,5023,15563449,53408777416,119578,839369
2019_0831,3,1k-10k,124187,930,12250743,89475606913,46428,458442
2019_0831,4,10k-100k,26038,85,6101574,98226820162,15183,186863
2019_0831,5,100k+,3454,4,1641107,1.25E+11,2808,43538
2019_0930,0,,33,0,406,3294234,0,0
2019_0930,1,0-100,5863653,309113,32346137,22700801482,796039,2136311
2019_0930,2,100-1k,419286,3005,16346057,56214382150,99325,632054
2019_0930,3,1k-10k,127530,698,12709293,93508913932,41215,379150
2019_0930,4,10k-100k,27138,66,6381531,1.02E+11,14770,170048
2019_0930,5,100k+,3605,2,1713642,1.32E+11,2897,40551
2019_1031,0,,33,0,406,3307728,0,0
2019_1031,1,0-100,6179721,333017,34225977,24038330278,863268,2319834
2019_1031,2,100-1k,432763,2955,17104884,59314018530,103839,658244
2019_1031,3,1k-10k,131824,635,13288497,98100509052,43057,406763
2019_1031,4,10k-100k,28357,54,6653986,1.07E+11,15437,175579
2019_1031,5,100k+,3780,3,1804431,1.40E+11,2986,44935
2019_1130,0,,33,0,406,3322089,0,0
2019_1130,1,0-100,6471925,307223,36104315,25320194936,811952,2282471
2019_1130,2,100-1k,445262,2727,17820438,62059581523,99844,629505
2019_1130,3,1k-10k,135817,664,13817521,1.02E+11,42609,412550
2019_1130,4,10k-100k,29585,67,6995918,1.13E+11,15789,178494
2019_1130,5,100k+,3923,4,1871818,1.47E+11,3077,44564
2019_1231,0,,33,0,406,3338238,0,0
2019_1231,1,0-100,6807214,352142,38198223,26807911357,903374,2545004
2019_1231,2,100-1k,459378,3177,18659145,65103738085,106772,709411
2019_1231,3,1k-10k,139965,695,14425328,1.07E+11,44993,443388
2019_1231,4,10k-100k,30763,79,7289179,1.18E+11,16634,188184
2019_1231,5,100k+,4097,12,1953533,1.55E+11,3232,48220
2020_0131,0,,33,0,406,3347638,0,0
2020_0131,1,0-100,7206580,416996,40693477,28551450305,1111414,2985204
2020_0131,2,100-1k,474639,3511,19650802,68889491069,122971,849208
2020_0131,3,1k-10k,143336,735,15002141,1.12E+11,49076,461573
2020_0131,4,10k-100k,32175,93,7610348,1.24E+11,17783,189274
2020_0131,5,100k+,4359,6,2048680,1.66E+11,3458,46047
2020_0229,0,,33,0,406,3359142,0,0
2020_0229,1,0-100,7905495,728895,44814210,30668467843,1643116,4831380
2020_0229,2,100-1k,503121,8348,20875572,73307951454,154312,1093480
2020_0229,3,1k-10k,150503,1235,15906426,1.19E+11,56578,589766
2020_0229,4,10k-100k,34179,136,8003836,1.31E+11,19227,219921
2020_0229,5,100k+,4698,13,2167123,1.79E+11,3631,50252
2020_0331,0,,1046,208,27745,131121806,365,2333
2020_0331,1,0-100,8715301,861565,49946008,33339485672,1977297,6099312
2020_0331,2,100-1k,537562,8256,22505049,78543465436,180351,1328939
2020_0331,3,1k-10k,159396,1661,16725681,1.26E+11,64880,646482
2020_0331,4,10k-100k,36403,163,8567530,1.40E+11,21851,285129
2020_0331,5,100k+,5024,11,2286710,1.93E+11,4060,62029
2020_0430,0,,3893,376,88516,428194934,726,4041
2020_0430,1,0-100,9409254,741346,55034195,36094334381,1847804,6070445
2020_0430,2,100-1k,570285,6927,24230109,83751287334,182381,1409104
2020_0430,3,1k-10k,168883,1619,17676760,1.33E+11,67876,696464
