"","log_date_month","fans_level","fans_level.1","all_rel_cnt","play_mid_cnt","up_cnt","play_tran_fans"
"1",202105,5,"10w+",42024241,5425994784,9338,0.00774498367081364
"2",202105,4,"1w-10w",26368328,4203712075,57812,0.0062726294117087
"3",202105,3,"1000-1w",13029648,3238488612,252467,0.00402337311044403
"4",202105,2,"100-1000",5000196,2197166203,858221,0.00227574773049611
"5",202105,1,"0-100",1938937,1244858305,17391396,0.00155755638389704
"6",202104,5,"10w+",87196927,11442546995,9170,0.00762041239927632
"7",202104,4,"1w-10w",60163635,8969338194,57414,0.0067077005793188
"8",202104,3,"1000-1w",28917250,6823469790,250093,0.00423790987429579
"9",202104,2,"100-1000",11332366,4653009673,856205,0.00243549160573602
"10",202104,1,"0-100",4230042,2586942759,17045655,0.00163515098479997
"11",202103,5,"10w+",88676662,11304063271,8814,0.00784467141364075
"12",202103,4,"1w-10w",59144320,8669548301,56862,0.0068220763004663
"13",202103,3,"1000-1w",29840721,6660911287,254523,0.0044799757441958
"14",202103,2,"100-1000",11995616,4857198446,847633,0.00246965738241118
"15",202103,1,"0-100",4433224,2782033331,16403251,0.00159351936966423
"16",202102,5,"10w+",111878701,11780239299,8478,0.00949715011387733
"17",202102,4,"1w-10w",68463103,9510961998,55576,0.00719833630019725
"18",202102,3,"1000-1w",33124527,7309643485,246528,0.00453162005342317
"19",202102,2,"100-1000",13278611,5789302692,816108,0.00229364600651287
"20",202102,1,"0-100",5087443,3353614020,15876773,0.00151700314039121
"21",202101,5,"10w+",109016635,10353769669,8028,0.0105291732852049
"22",202101,4,"1w-10w",66918098,8312818030,53936,0.00804998951721309
"23",202101,3,"1000-1w",33231429,6739966745,238395,0.00493050340710546
"24",202101,2,"100-1000",12812761,5181272459,790629,0.00247289852085349
"25",202101,1,"0-100",4764859,3043708220,15209255,0.00156547824416626
"26",202012,5,"10w+",79137494,8264811740,7667,0.00957523250251312
"27",202012,4,"1w-10w",52024991,6134741121,52106,0.00848038898037797
"28",202012,3,"1000-1w",24738961,5278771530,229683,0.00468649966368217
"29",202012,2,"100-1000",9873214,4052475806,763767,0.00243634125720922
"30",202012,1,"0-100",3789178,2450649489,14160965,0.00154619337322948
"31",202011,5,"10w+",67478381,7326011047,7378,0.00921079432819479
"32",202011,4,"1w-10w",50827860,5905723785,50583,0.00860654203454251
"33",202011,3,"1000-1w",22542645,5009362475,221849,0.00450010258041868
"34",202011,2,"100-1000",9310138,3719680600,742504,0.00250294017179862
"35",202011,1,"0-100",3539550,2222144481,12775661,0.00159285322366039
"36",202010,5,"10w+",66469454,7347133359,7103,0.00904699162954175
"37",202010,4,"1w-10w",48521804,5672517513,49369,0.00855383943527721
"38",202010,3,"1000-1w",24848185,4964014988,216396,0.00500566276694731
"39",202010,2,"100-1000",9542841,3723174514,726514,0.00256309258782168
"40",202010,1,"0-100",3853876,2284755017,12397256,0.00168677865737235
"41",202009,5,"10w+",57895988,6654729506,6823,0.00869997615196833
"42",202009,4,"1w-10w",42836550,5028434706,47703,0.00851886372291696
"43",202009,3,"1000-1w",22530276,4455948955,209337,0.00505622398899316
"44",202009,2,"100-1000",8697498,3332463943,703612,0.00260993011440364
"45",202009,1,"0-100",3640503,2108628143,11913905,0.00172647937574264
"46",202008,5,"10w+",93772815,8803269111,6582,0.0106520445777157
"47",202008,4,"1w-10w",63749639,6861332553,46414,0.00929114548924269
"48",202008,3,"1000-1w",31803705,6337217729,203589,0.00501855962033019
"49",202008,2,"100-1000",12022717,4808005631,688002,0.0025005621712426
"50",202008,1,"0-100",5132245,2945750789,11581951,0.00174225362823114
"51",202007,5,"10w+",50879074,7890524712,6198,0.00644812301552298
"52",202007,4,"1w-10w",32249364,6073102405,44273,0.00531019598376096
"53",202007,3,"1000-1w",17754297,5913400372,194819,0.0030023837188611
"54",202007,2,"100-1000",6615844,4636677434,661141,0.00142685017324843
"55",202007,1,"0-100",2921013,2933231809,10991632,0.0009958343527564
"56",202006,5,"10w+",20293417,6113118880,5874,0.00331965031244411
"57",202006,4,"1w-10w",13673389,4580777074,42298,0.00298494966664252
"58",202006,3,"1000-1w",7274639,4594306127,187335,0.00158340319493473
"59",202006,2,"100-1000",2690971,3740321172,635219,0.000719449179964698
"60",202006,1,"0-100",1259118,2556778196,10479288,0.000492462741574475
"61",202005,5,"10w+",2163317978,6007866555,5623,0.360080896969923
"62",202005,4,"1w-10w",700708432,4442962289,40825,0.157711991779636
"63",202005,3,"1000-1w",203683909,4687051659,180712,0.0434567237186067
"64",202005,2,"100-1000",49256220,3967727230,613593,0.0124142152786042
"65",202005,1,"0-100",12958734,2918458095,10038376,0.00444026728435859
"66",202004,5,"10w+",2179869341,6084744733,5353,0.358251567921609
"67",202004,4,"1w-10w",718619389,4500086644,38976,0.159690122846444
"68",202004,3,"1000-1w",211804826,4892928794,172219,0.0432879436667314
"69",202004,2,"100-1000",52774219,4211432279,585951,0.0125311807251787
