log_date_month,fans_level,fans_label,all_rel_cnt,play_mid_cnt,up_cnt,play_tran_fans
2020/6/1,5,100k+,20293417,6113118880,5874,0.00331965
2020/6/1,4,10k-100k,13673389,4580777074,42298,0.00298495
2020/6/1,3,1k-10k,7274639,4594306127,187335,0.001583403
2020/6/1,2,100-1k,2690971,3740321172,635219,0.000719449
2020/6/1,1,0-100,1259118,2556778196,10479288,0.000492463
2020/7/1,5,100k+,50879074,7890524712,6198,0.006448123
2020/7/1,4,10k-100k,32249364,6073102405,44273,0.005310196
2020/7/1,3,1k-10k,17754297,5913400372,194819,0.003002384
2020/7/1,2,100-1k,6615844,4636677434,661141,0.00142685
2020/7/1,1,0-100,2921013,2933231809,10991632,0.000995834
2020/8/1,5,100k+,93772815,8803269111,6582,0.010652045
2020/8/1,4,10k-100k,63749639,6861332553,46414,0.009291145
2020/8/1,3,1k-10k,31803705,6337217729,203589,0.00501856
2020/8/1,2,100-1k,12022717,4808005631,688002,0.002500562
2020/8/1,1,0-100,5132245,2945750789,11581951,0.001742254
2020/9/1,5,100k+,57895988,6654729506,6823,0.008699976
2020/9/1,4,10k-100k,42836550,5028434706,47703,0.008518864
2020/9/1,3,1k-10k,22530276,4455948955,209337,0.005056224
2020/9/1,2,100-1k,8697498,3332463943,703612,0.00260993
2020/9/1,1,0-100,3640503,2108628143,11913905,0.001726479
2020/10/1,5,100k+,66469454,7347133359,7103,0.009046992
2020/10/1,4,10k-100k,48521804,5672517513,49369,0.008553839
2020/10/1,3,1k-10k,24848185,4964014988,216396,0.005005663
2020/10/1,2,100-1k,9542841,3723174514,726514,0.002563093
2020/10/1,1,0-100,3853876,2284755017,12397256,0.001686779
2020/11/1,5,100k+,67478381,7326011047,7378,0.009210794
2020/11/1,4,10k-100k,50827860,5905723785,50583,0.008606542
2020/11/1,3,1k-10k,22542645,5009362475,221849,0.004500103
2020/11/1,2,100-1k,9310138,3719680600,742504,0.00250294
2020/11/1,1,0-100,3539550,2222144481,12775661,0.001592853
2020/12/1,5,100k+,79137494,8264811740,7667,0.009575233
2020/12/1,4,10k-100k,52024991,6134741121,52106,0.008480389
2020/12/1,3,1k-10k,24738961,5278771530,229683,0.0046865
2020/12/1,2,100-1k,9873214,4052475806,763767,0.002436341
2020/12/1,1,0-100,3789178,2450649489,14160965,0.001546193
2021/1/1,5,100k+,109016635,10353769669,8028,0.010529173
2021/1/1,4,10k-100k,66918098,8312818030,53936,0.00804999
2021/1/1,3,1k-10k,33231429,6739966745,238395,0.004930503
2021/1/1,2,100-1k,12812761,5181272459,790629,0.002472899
2021/1/1,1,0-100,4764859,3043708220,15209255,0.001565478
2021/2/1,5,100k+,111878701,11780239299,8478,0.00949715
2021/2/1,4,10k-100k,68463103,9510961998,55576,0.007198336
2021/2/1,3,1k-10k,33124527,7309643485,246528,0.00453162
2021/2/1,2,100-1k,13278611,5789302692,816108,0.002293646
2021/2/1,1,0-100,5087443,3353614020,15876773,0.001517003
2021/3/1,5,100k+,88676662,11304063271,8814,0.007844671
2021/3/1,4,10k-100k,59144320,8669548301,56862,0.006822076
2021/3/1,3,1k-10k,29840721,6660911287,254523,0.004479976
2021/3/1,2,100-1k,11995616,4857198446,847633,0.002469657
2021/3/1,1,0-100,4433224,2782033331,16403251,0.001593519
2021/4/1,5,100k+,87196927,11442546995,9170,0.007620412
2021/4/1,4,10k-100k,60163635,8969338194,57414,0.006707701
2021/4/1,3,1k-10k,28917250,6823469790,250093,0.00423791
2021/4/1,2,100-1k,11332366,4653009673,856205,0.002435492
2021/4/1,1,0-100,4230042,2586942759,17045655,0.001635151
2021/5/1,5,100k+,42024241,5425994784,9338,0.007744984
2021/5/1,4,10k-100k,26368328,4203712075,57812,0.006272629
2021/5/1,3,1k-10k,13029648,3238488612,252467,0.004023373
2021/5/1,2,100-1k,5000196,2197166203,858221,0.002275748
2021/5/1,1,0-100,1938937,1244858305,17391396,0.001557556
