"","log_date_month","fans_level","mid_all","mid_stay","retention_rate"
"1",201901,5,1906,1787,0.937565582371459
"2",201901,4,10355,8597,0.830226943505553
"3",201901,3,36080,25478,0.706152993348115
"4",201901,2,77025,47183,0.612567348263551
"5",201901,1,577978,198152,0.342836578554893
"6",201902,5,2066,1946,0.941916747337851
"7",201902,4,10805,8995,0.832484960666358
"8",201902,3,38143,26456,0.69360039850038
"9",201902,2,81859,47829,0.584285173285772
"10",201902,1,634923,198906,0.313275783047708
"11",201903,5,2219,2070,0.932852636322668
"12",201903,4,11273,9490,0.841834471746651
"13",201903,3,38720,27537,0.711182851239669
"14",201903,2,82278,50620,0.615231289044459
"15",201903,1,601142,212401,0.353329163492153
"16",201904,5,2307,2142,0.928478543563069
"17",201904,4,11791,9963,0.844966499872784
"18",201904,3,40623,29200,0.718804618073505
"19",201904,2,87811,54768,0.623703180694902
"20",201904,1,662012,231128,0.349129623027981
"21",201905,5,2391,2214,0.925972396486826
"22",201905,4,12485,10344,0.828514217060473
"23",201905,3,43282,30401,0.702393604731759
"24",201905,2,93197,56451,0.605716922218526
"25",201905,1,704000,240292,0.341323863636364
"26",201906,5,2509,2350,0.936628138700678
"27",201906,4,13044,11029,0.845522845752837
"28",201906,3,44240,32583,0.736505424954792
"29",201906,2,96513,62285,0.645353475697574
"30",201906,1,757470,276773,0.365391368635061
"31",201907,5,2681,2498,0.931741887355464
"32",201907,4,14284,12130,0.849201904228507
"33",201907,3,46620,34316,0.736078936078936
"34",201907,2,112828,71677,0.635276704364165
"35",201907,1,949022,345149,0.363689145246369
"36",201908,5,2835,2626,0.926278659611993
"37",201908,4,15429,12409,0.804264696351027
"38",201908,3,47161,31178,0.661097092936961
"39",201908,2,120483,64669,0.536747922943486
"40",201908,1,1071764,279212,0.260516307694604
"41",201909,5,2920,2682,0.918493150684932
"42",201909,4,15033,12543,0.834364398323688
"43",201909,3,42007,30214,0.71926107553503
"44",201909,2,100334,61432,0.612275001495007
"45",201909,1,797211,260434,0.326681393006368
"46",201910,5,3016,2786,0.923740053050398
"47",201910,4,15698,12962,0.825710281564531
"48",201910,3,43817,30679,0.700162037565329
"49",201910,2,104798,61641,0.588188705891334
"50",201910,1,863972,262828,0.304208932696893
"51",201911,5,3104,2881,0.928157216494845
"52",201911,4,16085,13463,0.836990985390115
"53",201911,3,43438,31499,0.725148487499425
"54",201911,2,100959,62490,0.618964133955368
"55",201911,1,814423,269928,0.331434647597133
"56",201912,5,3277,3024,0.922795239548367
"57",201912,4,16959,14149,0.834306268058258
"58",201912,3,45811,33606,0.733579271354042
"59",201912,2,107927,68595,0.63556848610635
"60",201912,1,905261,309395,0.341774361206326
"61",202001,5,3491,3144,0.900601546834718
"62",202001,4,18081,15005,0.8298766661136
"63",202001,3,49788,37180,0.746766289065638
"64",202001,2,123813,82130,0.663339067787712
"65",202001,1,1112544,430320,0.386789196651998
"66",202002,5,3669,3440,0.937585173071682
"67",202002,4,19593,16753,0.855050273056704
"68",202002,3,57358,43284,0.75462882248335
"69",202002,2,155481,103478,0.665534695557657
"70",202002,1,1646316,625390,0.37987239387821
"71",202003,5,4076,3762,0.922963689892051
"72",202003,4,21932,18429,0.840279044318804
"73",202003,3,64921,47559,0.732567274071564
"74",202003,2,179796,113649,0.632099713008076
"75",202003,1,1957899,675411,0.344967232732638
"76",202004,5,4311,4012,0.930642542333565
"77",202004,4,23041,19272,0.836422030293824
"78",202004,3,67635,48740,0.72063280845716
"79",202004,2,181436,113686,0.626590092374171
"80",202004,1,1833865,623543,0.340015759066234
"81",202005,5,4516,4172,0.923826395039858
"82",202005,4,23817,19452,0.816727547550069
"83",202005,3,68253,47578,0.697082912106428
"84",202005,2,178523,106335,0.595637536900007
"85",202005,1,1676322,526830,0.31427732858007
"86",202006,5,4682,4333,0.925459205467749
"87",202006,4,23612,19751,0.836481450110114
"88",202006,3,64819,47201,0.728196979280766
"89",202006,2,162664,104073,0.639803521369203
"90",202006,1,1387497,493420,0.355618786923503
"91",202007,5,4965,4603,0.927089627391742
"92",202007,4,25112,20803,0.828408728894552
"93",202007,3,69262,50660,0.73142560133984
"94",202007,2,174878,112853,0.645324168849141
"95",202007,1,1522470,538552,0.353735705793874
"96",202008,5,5325,4849,0.910610328638498
"97",202008,4,25991,20465,0.787387941979916
"98",202008,3,72522,47347,0.652863958522931
"99",202008,2,184147,98589,0.535382058898597
"100",202008,1,1645415,402816,0.24481118745119
"101",202009,5,5381,4944,0.91878832930682
"102",202009,4,24772,20311,0.819917648958501
"103",202009,3,64422,45883,0.712225637204682
"104",202009,2,148538,93256,0.627825876206762
"105",202009,1,1052641,356917,0.339068115340368
"106",202010,5,5590,5135,0.918604651162791
"107",202010,4,25457,21035,0.826295321522567
"108",202010,3,66846,47632,0.712563204978608
"109",202010,2,159117,98425,0.618569983094201
"110",202010,1,1191526,375611,0.315235252944543
"111",202011,5,5739,5294,0.922460358947552
"112",202011,4,26011,21809,0.838452962208296
"113",202011,3,69130,51017,0.737986402430204
"114",202011,2,160140,104930,0.655239165729986
"115",202011,1,1179313,423924,0.359466909972162
"116",202012,5,5997,5504,0.917792229448057
"117",202012,4,27391,22384,0.817202730823993
"118",202012,3,76948,53732,0.698289754119665
"119",202012,2,190319,113584,0.596808516228017
"120",202012,1,2582010,512800,0.198604962800299
"121",202101,5,6227,5687,0.913280873614903
"122",202101,4,28233,23050,0.816420500832359
"123",202101,3,79832,57163,0.716041186491632
"124",202101,2,196921,124281,0.631121109480452
"125",202101,1,2230093,573663,0.257237254231102
"126",202102,5,6572,5989,0.911290322580645
"127",202102,4,28617,23035,0.80494111891533
"128",202102,3,82296,56598,0.687736949547973
"129",202102,2,204837,119511,0.583444397252449
"130",202102,1,1867524,501545,0.268561474979706
"131",202103,5,6754,6231,0.922564406277761
"132",202103,4,28143,23165,0.823117649148989
"133",202103,3,77634,56126,0.722956436612824
"134",202103,2,188991,119194,0.630686117328338
"135",202103,1,1533922,501234,0.326766289289807
