log_date_month,fans_level,fans_label,mid_all,mid_stay,retention_rate
2019_01,5,100k+,1906,1787,0.937565582
2019_01,4,10k-100k,10355,8597,0.830226944
2019_01,3,1k-10k,36080,25478,0.706152993
2019_01,2,100-1k,77025,47183,0.612567348
2019_01,1,0-100,577978,198152,0.342836579
2019_02,5,100k+,2066,1946,0.941916747
2019_02,4,10k-100k,10805,8995,0.832484961
2019_02,3,1k-10k,38143,26456,0.693600399
2019_02,2,100-1k,81859,47829,0.584285173
2019_02,1,0-100,634923,198906,0.313275783
2019_03,5,100k+,2219,2070,0.932852636
2019_03,4,10k-100k,11273,9490,0.841834472
2019_03,3,1k-10k,38720,27537,0.711182851
2019_03,2,100-1k,82278,50620,0.615231289
2019_03,1,0-100,601142,212401,0.353329163
2019_04,5,100k+,2307,2142,0.928478544
2019_04,4,10k-100k,11791,9963,0.8449665
2019_04,3,1k-10k,40623,29200,0.718804618
2019_04,2,100-1k,87811,54768,0.623703181
2019_04,1,0-100,662012,231128,0.349129623
2019_05,5,100k+,2391,2214,0.925972396
2019_05,4,10k-100k,12485,10344,0.828514217
2019_05,3,1k-10k,43282,30401,0.702393605
2019_05,2,100-1k,93197,56451,0.605716922
2019_05,1,0-100,704000,240292,0.341323864
2019_06,5,100k+,2509,2350,0.936628139
2019_06,4,10k-100k,13044,11029,0.845522846
2019_06,3,1k-10k,44240,32583,0.736505425
2019_06,2,100-1k,96513,62285,0.645353476
2019_06,1,0-100,757470,276773,0.365391369
2019_07,5,100k+,2681,2498,0.931741887
2019_07,4,10k-100k,14284,12130,0.849201904
2019_07,3,1k-10k,46620,34316,0.736078936
2019_07,2,100-1k,112828,71677,0.635276704
2019_07,1,0-100,949022,345149,0.363689145
2019_08,5,100k+,2835,2626,0.92627866
2019_08,4,10k-100k,15429,12409,0.804264696
2019_08,3,1k-10k,47161,31178,0.661097093
2019_08,2,100-1k,120483,64669,0.536747923
2019_08,1,0-100,1071764,279212,0.260516308
2019_09,5,100k+,2920,2682,0.918493151
2019_09,4,10k-100k,15033,12543,0.834364398
2019_09,3,1k-10k,42007,30214,0.719261076
2019_09,2,100-1k,100334,61432,0.612275001
2019_09,1,0-100,797211,260434,0.326681393
2019_10,5,100k+,3016,2786,0.923740053
2019_10,4,10k-100k,15698,12962,0.825710282
2019_10,3,1k-10k,43817,30679,0.700162038
2019_10,2,100-1k,104798,61641,0.588188706
2019_10,1,0-100,863972,262828,0.304208933
2019_11,5,100k+,3104,2881,0.928157216
2019_11,4,10k-100k,16085,13463,0.836990985
2019_11,3,1k-10k,43438,31499,0.725148487
2019_11,2,100-1k,100959,62490,0.618964134
2019_11,1,0-100,814423,269928,0.331434648
2019_12,5,100k+,3277,3024,0.92279524
2019_12,4,10k-100k,16959,14149,0.834306268
2019_12,3,1k-10k,45811,33606,0.733579271
2019_12,2,100-1k,107927,68595,0.635568486
2019_12,1,0-100,905261,309395,0.341774361
2020_01,5,100k+,3491,3144,0.900601547
2020_01,4,10k-100k,18081,15005,0.829876666
2020_01,3,1k-10k,49788,37180,0.746766289
2020_01,2,100-1k,123813,82130,0.663339068
2020_01,1,0-100,1112544,430320,0.386789197
2020_02,5,100k+,3669,3440,0.937585173
2020_02,4,10k-100k,19593,16753,0.855050273
2020_02,3,1k-10k,57358,43284,0.754628822
2020_02,2,100-1k,155481,103478,0.665534696
2020_02,1,0-100,1646316,625390,0.379872394
2020_03,5,100k+,4076,3762,0.92296369
2020_03,4,10k-100k,21932,18429,0.840279044
2020_03,3,1k-10k,64921,47559,0.732567274
2020_03,2,100-1k,179796,113649,0.632099713
2020_03,1,0-100,1957899,675411,0.344967233
2020_04,5,100k+,4311,4012,0.930642542
2020_04,4,10k-100k,23041,19272,0.83642203
2020_04,3,1k-10k,67635,48740,0.720632808
2020_04,2,100-1k,181436,113686,0.626590092
2020_04,1,0-100,1833865,623543,0.340015759
2020_05,5,100k+,4516,4172,0.923826395
2020_05,4,10k-100k,23817,19452,0.816727548
2020_05,3,1k-10k,68253,47578,0.697082912
2020_05,2,100-1k,178523,106335,0.595637537
2020_05,1,0-100,1676322,526830,0.314277329
2020_06,5,100k+,4682,4333,0.925459205
2020_06,4,10k-100k,23612,19751,0.83648145
2020_06,3,1k-10k,64819,47201,0.728196979
2020_06,2,100-1k,162664,104073,0.639803521
2020_06,1,0-100,1387497,493420,0.355618787
2020_07,5,100k+,4965,4603,0.927089627
2020_07,4,10k-100k,25112,20803,0.828408729
2020_07,3,1k-10k,69262,50660,0.731425601
2020_07,2,100-1k,174878,112853,0.645324169
2020_07,1,0-100,1522470,538552,0.353735706
2020_08,5,100k+,5325,4849,0.910610329
2020_08,4,10k-100k,25991,20465,0.787387942
2020_08,3,1k-10k,72522,47347,0.652863959
2020_08,2,100-1k,184147,98589,0.535382059
2020_08,1,0-100,1645415,402816,0.244811187
2020_09,5,100k+,5381,4944,0.918788329
2020_09,4,10k-100k,24772,20311,0.819917649
2020_09,3,1k-10k,64422,45883,0.712225637
2020_09,2,100-1k,148538,93256,0.627825876
2020_09,1,0-100,1052641,356917,0.339068115
2020_10,5,100k+,5590,5135,0.918604651
2020_10,4,10k-100k,25457,21035,0.826295322
2020_10,3,1k-10k,66846,47632,0.712563205
2020_10,2,100-1k,159117,98425,0.618569983
2020_10,1,0-100,1191526,375611,0.315235253
2020_11,5,100k+,5739,5294,0.922460359
2020_11,4,10k-100k,26011,21809,0.838452962
2020_11,3,1k-10k,69130,51017,0.737986402
2020_11,2,100-1k,160140,104930,0.655239166
2020_11,1,0-100,1179313,423924,0.35946691
2020_12,5,100k+,5997,5504,0.917792229
2020_12,4,10k-100k,27391,22384,0.817202731
2020_12,3,1k-10k,76948,53732,0.698289754
2020_12,2,100-1k,190319,113584,0.596808516
2020_12,1,0-100,2582010,512800,0.198604963
2021_01,5,100k+,6227,5687,0.913280874
2021_01,4,10k-100k,28233,23050,0.816420501
2021_01,3,1k-10k,79832,57163,0.716041186
2021_01,2,100-1k,196921,124281,0.631121109
2021_01,1,0-100,2230093,573663,0.257237254
2021_02,5,100k+,6572,5989,0.911290323
2021_02,4,10k-100k,28617,23035,0.804941119
2021_02,3,1k-10k,82296,56598,0.68773695
2021_02,2,100-1k,204837,119511,0.583444397
2021_02,1,0-100,1867524,501545,0.268561475
2021_03,5,100k+,6754,6231,0.922564406
2021_03,4,10k-100k,28143,23165,0.823117649
2021_03,3,1k-10k,77634,56126,0.722956437
2021_03,2,100-1k,188991,119194,0.630686117
2021_03,1,0-100,1533922,501234,0.326766289
