tname,supply_3month_avs,supply_pct,demand_3month_play,demand_pct,demand_supply_diff
game,7640787,0.267204997,25370029284,0.180522691,-0.086682305
life,9113076,0.318692229,33749958577,0.240150821,-0.078541409
music,1337652,0.046778859,1954898524,0.013910254,-0.032868605
knowledge,2235973,0.078193929,9639325433,0.068589474,-0.009604455
car,273396,0.009560897,872714922,0.00620988,-0.003351017
fashion,663850,0.023215414,3265746880,0.023237711,2.23E-05
paid,1685,5.89E-05,36236772,0.000257846,0.00019892
dance,288901,0.01010312,1655894732,0.011782666,0.001679545
documentary,37930,0.001326445,518516657,0.003689551,0.002363106
tv_drama,4082,0.000142751,433607181,0.00308537,0.002942619
movie,2512,8.78E-05,461132298,0.003281228,0.003193381
Guichu,50452,0.001764351,1392219502,0.009906461,0.008142111
animal,611320,0.021378394,4532843129,0.032253847,0.010875452
entertainment,2118788,0.074095867,11998235777,0.08537451,0.011278642
china_anime,157183,0.005496827,2391519937,0.017017072,0.011520245
food,520345,0.018196919,5052977541,0.035954909,0.01775799
tv_show,2208880,0.077246463,13880256783,0.098766197,0.021519734
anime,40800,0.001426812,3369747988,0.02397774,0.022550929
news,104934,0.003669634,4305942912,0.030639318,0.026969685
technology,257426,0.009002412,6074022066,0.043220242,0.03421783
cartoon,925253,0.032356906,9577221316,0.068147567,0.035790661
